reference_number,title,journal,year,authors,ANOVA_used,design_used,assumptions_check,which_assumptions_checked,transformation_used,type_of_transformation,motivation,reassessment_assumptions,interpretation_scala,study_element,jcr_impact_factor,status,discard_reason
1,Decline of seedling phosphorus use efficiency in the heterotic pool of flint maize breeding lines since the onset of hybrid breeding,Journal of Agronomy Crop Science,2021,"Xuelian Li, Melissa Mang, Hans-Peter Piepho, Albrecht Melchinger, Uwe Ludewig",yes,completely randomized design - CRD,yes,"normality, homogeneity, independence ",yes,logarithm,"normality, homogeneity",unmentioned,transformed,milho,1.36,selected,NA
2,Flint maize root mycorrhization and organic acid exudates under phosphorus deficiency Trends in breeding lines and doubled haploid lines from landraces,Journal of Soil Science and Plant Nutrition,2021,"Xuelian Li, Xiuhao Quan, Melissa Mang, Günter Neumann, Albrecht Melchinger, Uwe Ludewig",yes,completely randomized design - CRD,yes,"normality, homogeneity, independence ",yes,logarithm,"normality, homogeneity",unmentioned,transformed,milho,0.84,selected,NA
3,Rooting of sacha inchi (Plukenetia volubilis) juvenile cuttings in microtunnels,Acta Agron.,2019,"Reynaldo Solis, Nelly Gonzales, Marlon Pezo, Luis Arévalo, Geomar Vallejos-Torres",yes,completely randomized design - CRD,no,,yes,arcsen,unmentioned,unmentioned,unmentioned,sacha inchi,,selected,NA
4,Nonlinear growth models: An alternative to ANOVA in tomato trials evaluation,European Journal of Agronomy,2019,"Bruno Giacomini Sari, Alessandro Dal’Col Lúcio, Cinthya Souza Santana, Tiago Olivoto, Maria Inês Diel, Dionatan Ketzer Krysczun",yes,randomized block design - RBD,yes,"normality, homogeneity, independence ",yes,logarithm,"normality, homogeneity",homogeneity,transformed,Tomate,2.06,selected,NA
4,Nonlinear growth models: An alternative to ANOVA in tomato trials evaluation,European Journal of Agronomy,2019,"Bruno Giacomini Sari, Alessandro Dal’Col Lúcio, Cinthya Souza Santana, Tiago Olivoto, Maria Inês Diel, Dionatan Ketzer Krysczun",yes,randomized block design - RBD,yes,"normality, homogeneity, independence ",yes,Box-Cox,"normality, homogeneity",homogeneity,transformed,Tomate,2.06,selected,NA
5,"Protection of spruce from colonization by the bark beetle, Ips perturbatus, in Alaska",Forest ecology and management,2008,"Andrew D. Graves, Edward H. Holsten, Mark E. Ascerno, Kenneth P. Zogas, John S. Hard, Dezene P.W. Huber, Robert A. Blanchette, Steven J. Seybold",yes,completely randomized design - CRD,yes,"normality, homogeneity",yes,logarithm,"normality, homogeneity",unmentioned,original,spruce,1.53,selected,NA
6,Plastic responses to light intensity and planting density in three Lamium species,PLANT SYSTEMATICS AND EVOLUTION,2006,"N. Barišić, B. Stojković, A. Tarasjev",yes,randomized block design - RBD,no,,yes,logarithm,unmentioned,unmentioned,unmentioned,Lamium,0.42,selected,NA
7,Comparison of Sampling Methods Used to Estimate Spider (Araneae) Species AhWldance and Composition in Grape Vineyards,Environmental Entomology,2016,"MICHAEL J. COSTELLO, KENT M. DAANE",yes,split-plot design,yes,unmentioned,yes,logarithm,unmentioned,unmentioned,unmentioned,Grape Vineyards,0.99,selected,NA
7,Comparison of Sampling Methods Used to Estimate Spider (Araneae) Species AhWldance and Composition in Grape Vineyards,Environmental Entomology,2016,"MICHAEL J. COSTELLO, KENT M. DAANE",yes,split-plot design,yes,unmentioned,yes,square root,unmentioned,unmentioned,unmentioned,Grape Vineyards,0.99,selected,NA
8,Effect of data transformation on the distribution and repeatability of egg-production traits,JOURNAL OF ANIMAL BREEDING AND GENETICS,1994,S. N. IBE,yes,completely randomized design - CRD,no,,yes,z(t) = (y^t - 1 )/ (tG^(t-1)),"normality, homogeneity",unmentioned,unmentioned,egg-production,1.30,selected,NA
